,Date,State,Confirmed,Deceased,Recovered,State_Name
7005,25-Sep-20,MZ,27,0,184,Mizoram
7006,25-Sep-20,NL,38,0,95,Nagaland
7007,25-Sep-20,OR,4208,15,4388,Odisha
7008,25-Sep-20,PB,1876,68,2550,Punjab
7009,25-Sep-20,PY,594,7,470,Puducherry
7010,25-Sep-20,RJ,2010,15,1958,Rajasthan
7011,25-Sep-20,SK,92,0,21,Sikkim
7012,25-Sep-20,TG,2381,10,2021,Telangana
7013,25-Sep-20,TN,5679,72,5626,Tamil Nadu
7014,25-Sep-20,TR,341,5,509,Tripura
7015,25-Sep-20,TT,85717,1093,93331,Total
7016,25-Sep-20,UN,0,0,0,State Unassigned
7017,25-Sep-20,UP,4256,84,6075,Uttar Pradesh
7018,25-Sep-20,UT,928,13,1488,Uttarakhand
7019,25-Sep-20,WB,3190,59,2978,West Bengal
7020,26-Apr-20,AN,0,0,0,Andaman and Nicobar Islands
7021,26-Apr-20,AP,81,0,60,Andhra Pradesh
7022,26-Apr-20,AR,0,0,0,Arunachal Pradesh
7023,26-Apr-20,AS,0,0,8,Assam
7024,26-Apr-20,BR,26,0,11,Bihar
7025,26-Apr-20,CH,8,0,2,Chandigarh
7026,26-Apr-20,CT,0,0,0,Chhattisgarh
7027,26-Apr-20,DD,0,0,0,Daman and Diu
7028,26-Apr-20,DL,293,0,8,Delhi
7029,26-Apr-20,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
7030,26-Apr-20,GA,0,0,0,Goa
7031,26-Apr-20,GJ,230,18,31,Gujarat
7032,26-Apr-20,HP,0,0,0,Himachal Pradesh
7033,26-Apr-20,HR,9,0,8,Haryana
7034,26-Apr-20,JH,15,0,5,Jharkhand
7035,26-Apr-20,JK,29,0,25,Jammu and Kashmir
7036,26-Apr-20,KA,3,1,24,Karnataka
7037,26-Apr-20,KL,11,0,4,Kerala
7038,26-Apr-20,LA,0,0,0,Ladakh
7039,26-Apr-20,LD,0,0,0,Lakshadweep
7040,26-Apr-20,MH,440,19,112,Maharashtra
7041,26-Apr-20,ML,0,0,0,Meghalaya
